ProgramCode,OfferCode,OfferStartDate,OfferEndDate,OptInRequired,DaysValid,OfferName,OfferName1,OfferName2,OfferName3,OfferName4,OfferName5,OfferName6,OfferShortDescription,OfferShortDescription1,OfferShortDescription2,OfferShortDescription3,OfferShortDescription4,OfferShortDescription5,OfferShortDescription6,OfferDescription,OfferDescription1,OfferDescription2,OfferDescription3,OfferDescription4,OfferDescription5,OfferDescription6,OfferTermsAndConditions,OfferTermsAndConditions1,OfferTermsAndConditions2,OfferTermsAndConditions3,OfferTermsAndConditions4,OfferTermsAndConditions5,OfferTermsAndConditions6,UsageLimit,RedemptionCodeReqInPurchase,ImageNameSmall,ImageNameMedium,ImageNameLarge,IsCouponOffer,CustomDataName,CustomDataValue,GlobalLimit,IsEligibleOffer,InvalidCustomDataName
AIQ,REC_100_EGGS,30-Aug-17,30-Aug-18,TRUE,60,10 Bonus Eggs,10 Bonus Eggs,10 Bonus Eggs,10 Bonus Eggs,10 Bonus Eggs,10 Bonus Eggs,10 Bonus Eggs,10 Bonus Eggs,10 Bonus Eggs,10 Bonus Eggs,10 Bonus Eggs,10 Bonus Eggs,10 Bonus Eggs,10 Bonus Eggs,Spend $10 - get 10 Bonus Eggs,Spend $10 - get 10 Bonus Eggs,Spend $10 - get 10 Bonus Eggs,Spend $10 - get 10 Bonus Eggs,Spend $10 - get 10 Bonus Eggs,Spend $10 - get 10 Bonus Eggs,Spend $10 - get 10 Bonus Eggs,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,1,FALSE,MYSCHH
AIQ,REC_200_EGGS,30-Aug-17,30-Aug-18,TRUE,60,20 Bonus Eggs,20 Bonus Eggs,20 Bonus Eggs,20 Bonus Eggs,20 Bonus Eggs,20 Bonus Eggs,20 Bonus Eggs,20 Bonus Eggs,20 Bonus Eggs,20 Bonus Eggs,20 Bonus Eggs,20 Bonus Eggs,20 Bonus Eggs,20 Bonus Eggs,Spend $10 - get 20 Bonus Eggs,Spend $10 - get 20 Bonus Eggs,Spend $10 - get 20 Bonus Eggs,Spend $10 - get 20 Bonus Eggs,Spend $10 - get 20 Bonus Eggs,Spend $10 - get 20 Bonus Eggs,Spend $10 - get 20 Bonus Eggs,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,1,TRUE,MYSCHH
AIQ,REC_300_EGGS,30-Aug-17,30-Aug-18,TRUE,60,30 Bonus Eggs,30 Bonus Eggs,30 Bonus Eggs,30 Bonus Eggs,30 Bonus Eggs,30 Bonus Eggs,30 Bonus Eggs,30 Bonus Eggs,30 Bonus Eggs,30 Bonus Eggs,30 Bonus Eggs,30 Bonus Eggs,30 Bonus Eggs,30 Bonus Eggs,Spend $10 - get 30 Bonus Eggs,Spend $10 - get 30 Bonus Eggs,Spend $10 - get 30 Bonus Eggs,Spend $10 - get 30 Bonus Eggs,Spend $10 - get 30 Bonus Eggs,Spend $10 - get 30 Bonus Eggs,Spend $10 - get 30 Bonus Eggs,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,null,TRUE,MYSCHH
AIQ,REC_400_EGGS,30-Aug-17,30-Aug-18,TRUE,60,40 Bonus Eggs,40 Bonus Eggs,40 Bonus Eggs,40 Bonus Eggs,40 Bonus Eggs,40 Bonus Eggs,40 Bonus Eggs,40 Bonus Eggs,40 Bonus Eggs,40 Bonus Eggs,40 Bonus Eggs,40 Bonus Eggs,40 Bonus Eggs,40 Bonus Eggs,Spend $10 - get 40 Bonus Eggs,Spend $10 - get 40 Bonus Eggs,Spend $10 - get 40 Bonus Eggs,Spend $10 - get 40 Bonus Eggs,Spend $10 - get 40 Bonus Eggs,Spend $10 - get 40 Bonus Eggs,Spend $10 - get 40 Bonus Eggs,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,null,TRUE,MYSCHH
AIQ,REC_500_EGGS,30-Aug-17,30-Aug-18,TRUE,60,50 Bonus Eggs,50 Bonus Eggs,50 Bonus Eggs,50 Bonus Eggs,50 Bonus Eggs,50 Bonus Eggs,50 Bonus Eggs,50 Bonus Eggs,50 Bonus Eggs,50 Bonus Eggs,50 Bonus Eggs,50 Bonus Eggs,50 Bonus Eggs,50 Bonus Eggs,Spend $10 - get 50 Bonus Eggs,Spend $10 - get 50 Bonus Eggs,Spend $10 - get 50 Bonus Eggs,Spend $10 - get 50 Bonus Eggs,Spend $10 - get 50 Bonus Eggs,Spend $10 - get 50 Bonus Eggs,Spend $10 - get 50 Bonus Eggs,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,null,FALSE,MYSCHH
AIQ,REC_100_POINTS,30-Aug-17,30-Aug-18,TRUE,60,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,Spend $10 - get 10 Bonus Points,Spend $10 - get 10 Bonus Points,Spend $10 - get 10 Bonus Points,Spend $10 - get 10 Bonus Points,Spend $10 - get 10 Bonus Points,Spend $10 - get 10 Bonus Points,Spend $10 - get 10 Bonus Points,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,1,FALSE,MYSCHH
AIQ,REC_200_POINTS,30-Aug-17,30-Aug-18,TRUE,60,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,Spend $10 - get 20 Bonus Points,Spend $10 - get 20 Bonus Points,Spend $10 - get 20 Bonus Points,Spend $10 - get 20 Bonus Points,Spend $10 - get 20 Bonus Points,Spend $10 - get 20 Bonus Points,Spend $10 - get 20 Bonus Points,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,null,FALSE,MYSCHH
AIQ,REC_300_POINTS,30-Aug-17,30-Aug-18,TRUE,60,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,Spend $10 - get 30 Bonus Points,Spend $10 - get 30 Bonus Points,Spend $10 - get 30 Bonus Points,Spend $10 - get 30 Bonus Points,Spend $10 - get 30 Bonus Points,Spend $10 - get 30 Bonus Points,Spend $10 - get 30 Bonus Points,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,1,FALSE,MYSCHH
AIQ,REC_400_POINTS,30-Aug-17,30-Aug-18,TRUE,60,40 Bonus Points,40 Bonus Points,40 Bonus Points,40 Bonus Points,40 Bonus Points,40 Bonus Points,40 Bonus Points,40 Bonus Points,40 Bonus Points,40 Bonus Points,40 Bonus Points,40 Bonus Points,40 Bonus Points,40 Bonus Points,Spend $10 - get 40 Bonus Points,Spend $10 - get 40 Bonus Points,Spend $10 - get 40 Bonus Points,Spend $10 - get 40 Bonus Points,Spend $10 - get 40 Bonus Points,Spend $10 - get 40 Bonus Points,Spend $10 - get 40 Bonus Points,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,null,FALSE,MYSCHH
AIQ,REC_500_POINTS,30-Aug-17,30-Aug-18,TRUE,60,50 Bonus Points,50 Bonus Points,50 Bonus Points,50 Bonus Points,50 Bonus Points,50 Bonus Points,50 Bonus Points,50 Bonus Points,50 Bonus Points,50 Bonus Points,50 Bonus Points,50 Bonus Points,50 Bonus Points,50 Bonus Points,Spend $10 - get 50 Bonus Points,Spend $10 - get 50 Bonus Points,Spend $10 - get 50 Bonus Points,Spend $10 - get 50 Bonus Points,Spend $10 - get 50 Bonus Points,Spend $10 - get 50 Bonus Points,Spend $10 - get 50 Bonus Points,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,null,FALSE,MYSCHH
AIQ,REC_100_POINTS,30-Aug-17,30-Aug-18,TRUE,60,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,10 Bonus Points,Spend $10 - get 10 Bonus Points,Spend $10 - get 10 Bonus Points,Spend $10 - get 10 Bonus Points,Spend $10 - get 10 Bonus Points,Spend $10 - get 10 Bonus Points,Spend $10 - get 10 Bonus Points,Spend $10 - get 10 Bonus Points,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,null,FALSE,MYSCHH
AIQ,REC_200_POINTS,30-Aug-17,30-Aug-18,TRUE,60,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,20 Bonus Points,Spend $10 - get 20 Bonus Points,Spend $10 - get 20 Bonus Points,Spend $10 - get 20 Bonus Points,Spend $10 - get 20 Bonus Points,Spend $10 - get 20 Bonus Points,Spend $10 - get 20 Bonus Points,Spend $10 - get 20 Bonus Points,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,null,FALSE,MYSCHH
AIQ,REC_300_POINTS,30-Aug-17,30-Aug-18,TRUE,60,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,30 Bonus Points,Spend $10 - get 30 Bonus Points,Spend $10 - get 30 Bonus Points,Spend $10 - get 30 Bonus Points,Spend $10 - get 30 Bonus Points,Spend $10 - get 30 Bonus Points,Spend $10 - get 30 Bonus Points,Spend $10 - get 30 Bonus Points,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,Terms and Conditions Apply,1,TRUE,fake.png,fake.png,fake.png,TRUE,OFFER_NOPG,FALSE,null,FALSE,MYSCHH
